,precision,recall,f1-score,support
0,0.8,1.0,0.888888888888889,4.0
1,1.0,1.0,1.0,7.0
2,0.7777777777777778,0.875,0.823529411764706,8.0
3,1.0,0.8,0.888888888888889,5.0
4,1.0,0.75,0.8571428571428571,8.0
5,0.6666666666666666,1.0,0.8,6.0
6,0.6666666666666666,0.8,0.7272727272727272,5.0
7,1.0,0.7777777777777778,0.8750000000000001,9.0
8,1.0,1.0,1.0,8.0
9,1.0,0.75,0.8571428571428571,4.0
accuracy,0.875,0.875,0.875,0.875
macro avg,0.8911111111111112,0.8752777777777778,0.8717865631100926,64.0
weighted avg,0.9024305555555555,0.875,0.8778955190030557,64.0
