,precision,recall,f1-score,support
0,0.803,0.833852544132918,0.8181355068772287,963.0
1,0.961,0.9866529774127311,0.9736575481256332,974.0
2,0.767,0.8006263048016702,0.7834525025536261,958.0
3,0.858,0.8854489164086687,0.8715083798882681,969.0
4,0.776,0.7975334018499486,0.7866193613786111,973.0
5,0.966,0.9036482694106641,0.9337844369260511,1069.0
6,0.722,0.6338893766461808,0.6750818139317438,1139.0
7,0.877,0.9553376906318083,0.9144942648592284,918.0
8,0.969,0.9556213017751479,0.9622641509433962,1014.0
9,0.956,0.9345063538611925,0.9451309935739,1023.0
accuracy,0.8655,0.8655,0.8655,0.8655
macro avg,0.8655000000000002,0.868711713693093,0.8664128959057686,10000.0
weighted avg,0.8651190999999999,0.8655,0.8645871040942311,10000.0
